chrom	start	end	KR	VC	VC_SQRT	weight	GC	E1	E2	E3	binary	HMM2	HMM3	HMM3P	HMM4	HMM5	HMM6	HMM7	HMM8	HMM9
chr1	0	250000	0.03921939812369965	0.00645287580163535	0.07102845373675497		0.4437080732144122													
chr1	250000	500000	0.023998253084891834	0.0029918137255709075	0.04836408572828124		0.41865192841619264													
chr1	500000	750000	0.08974976927372831	0.058451280895112985	0.21377293676460657		0.43395													
chr1	750000	1000000	0.7463954463897754	0.7802746889888422	0.781051133138452	0.0018518188591001307	0.513908	0.7835092173637445	-0.18801885125568174	0.6308981824529564	1.0	1.0	2.0	4.0	3.0	4.0	5.0	6.0	7.0	8.0
chr1	1000000	1250000	0.914655745224477	1.0712399495182006	0.9151643361171314	0.0017932359278954807	0.617632	0.8984110375012966	-0.33208930160994476	0.6107364976618361	1.0	1.0	2.0	4.0	3.0	4.0	5.0	6.0	7.0	8.0
chr1	1250000	1500000	0.9952855787444335	1.2160784297744751	0.97507158307709	0.001600705638201728	0.592396	0.8602599554777213	-0.3763665802149087	0.6290950764954244	1.0	1.0	2.0	4.0	3.0	4.0	5.0	6.0	7.0	8.0
chr1	1500000	1750000	0.9141614649530562	1.1357004532290278	0.9422965623157014	0.0016173094725621764	0.558684	0.8878728851530715	-0.34081742688608985	0.587113520584487	1.0	1.0	2.0	4.0	3.0	4.0	5.0	6.0	7.0	8.0
chr1	1750000	2000000	1.0984410087750123	1.4513908359353003	1.0652410536348087	0.0012092149091853317	0.5227	0.8331635204243694	0.053309179615135684	0.5351497105171398	1.0	1.0	2.0	4.0	3.0	3.0	4.0	6.0	7.0	8.0
chr1	2000000	2250000	1.0931388803303181	1.4511860730187212	1.0651659086244751	0.0012988498341921007	0.572888	0.5469717507856507	0.6248440044482899	0.438233103402654	1.0	1.0	2.0	4.0	3.0	3.0	4.0	4.0	5.0	6.0
chr1	2250000	2500000	1.118236042662523	1.4722567459205795	1.0728709439267976	0.0013923651866547878	0.59802	0.5833614130407281	0.4995776752570952	0.4385540056004296	1.0	1.0	2.0	4.0	3.0	3.0	4.0	4.0	5.0	6.0
chr1	2500000	2750000	0.8379195168376123	1.056940672510434	0.9090358529522758	0.0018352011816621066	0.5991108571317878	0.5383132500411093	0.47698464119663087	0.45383703211242077	1.0	1.0	2.0	4.0	3.0	3.0	4.0	4.0	5.0	6.0
chr1	2750000	3000000	0.9170173601658012	1.1504604467990973	0.9484000172763141	0.0016941813028783469	0.567508	0.08231381468189172	1.028995065302818	0.4057774339766742	1.0	1.0	1.0	3.0	2.0	2.0	3.0	3.0	4.0	4.0
chr1	3000000	3250000	1.0260532456256162	1.3106817411633689	1.01228856704235	0.0015555284188337687	0.571752	0.08353489539778669	1.1850692019784685	0.35822242983695607	1.0	1.0	1.0	3.0	2.0	2.0	3.0	3.0	4.0	4.0
chr1	3250000	3500000	1.043616737528155	1.362082921083491	1.0319472092338682	0.0014707636265861499	0.575916	0.18243880470743243	0.9512846483773721	0.4157623011091982	1.0	1.0	1.0	3.0	2.0	2.0	3.0	3.0	4.0	4.0
chr1	3500000	3750000	1.1633441939271978	1.6025769666055236	1.1193480716121147	0.001265585684886773	0.59674	0.5792209523108796	0.4788472045332098	0.38856676755235303	1.0	1.0	1.0	3.0	2.0	2.0	3.0	4.0	5.0	6.0
chr1	3750000	4000000	1.2475861226175147	1.7186746963764181	1.1591844555195052	0.0011192579334699804	0.514428	0.3242101753036935	0.5167838765315421	0.4026662347170044	1.0	1.0	1.0	3.0	2.0	2.0	3.0	3.0	4.0	5.0
chr1	4000000	4250000	1.070930002189051	1.3968272065257912	1.0450258896324476	0.00131502966591101	0.481552	-0.10681908009471114	0.9516767320906531	0.38444014232384605	0.0	0.0	1.0	3.0	1.0	1.0	2.0	2.0	3.0	3.0
chr1	4250000	4500000	0.948083447947173	1.2027148055382986	0.9696991965753788	0.001581680782590065	0.476996	-0.18289636495083805	1.019451412362353	0.36339129505587225	0.0	0.0	1.0	3.0	1.0	1.0	2.0	2.0	3.0	3.0
chr1	4500000	4750000	0.9935087165952772	1.265690778103928	0.9947627518934143	0.0015088397527270783	0.499624	-0.16092255029204736	1.039427726523288	0.3503173175124527	0.0	0.0	1.0	3.0	1.0	1.0	2.0	2.0	3.0	3.0
chr1	4750000	5000000	0.958115339133283	1.2067560292113368	0.9713269661009554	0.0015592495491351269	0.457792	-0.19682544487002696	1.0360269474140342	0.3247837312222851	0.0	0.0	1.0	3.0	1.0	1.0	2.0	2.0	3.0	3.0
chr1	5000000	5250000	0.8553233294764222	1.059480301461893	0.9101273184918698	0.001704845008790142	0.424296	-0.28272963742321455	1.1211611731505158	0.3029465486894688	0.0	0.0	1.0	3.0	1.0	1.0	2.0	2.0	3.0	3.0
chr1	5250000	5500000	1.0670574199109777	1.3841119981921148	1.040258621522396	0.0013528305403939548	0.4793	-0.20772917968084242	1.1594521813313783	0.3112668503053617	0.0	0.0	1.0	3.0	1.0	1.0	2.0	2.0	3.0	3.0
chr1	5500000	5750000	1.0865959890047026	1.4557676432771762	1.0668460125111852	0.0013086083550542717	0.474408	-0.11804438976937029	1.2107690259578299	0.27494679449581183	0.0	0.0	1.0	3.0	1.0	1.0	2.0	2.0	3.0	3.0
chr1	5750000	6000000	1.2658774816151837	1.7777232024448866	1.1789293439315316	0.0011143098432870161	0.511392	0.15195114662595405	1.0400843258304922	0.2578871706749191	1.0	0.0	1.0	3.0	2.0	2.0	3.0	3.0	4.0	4.0
chr1	6000000	6250000	1.304170832351951	1.9083903825162563	1.2214883150348972	0.0010718154304124184	0.553828	0.5715888687047377	0.5584073372522319	0.3328614027810474	1.0	1.0	2.0	4.0	3.0	3.0	4.0	4.0	5.0	6.0
chr1	6250000	6500000	1.2735250836993182	1.8853232711777528	1.2140836800532238	0.0011509731487086457	0.55938	0.7927418028859655	0.21139234851317235	0.41316222134073355	1.0	1.0	2.0	4.0	3.0	3.0	4.0	5.0	6.0	7.0
chr1	6500000	6750000	1.2439547358684633	1.8144269552416719	1.1910375445248698	0.0011078016180745655	0.502128	0.8080301141272713	0.13332198552745086	0.47458807550650767	1.0	1.0	2.0	4.0	3.0	3.0	4.0	5.0	6.0	7.0
chr1	6750000	7000000	1.1435189757973017	1.6180166593014593	1.1247272090980562	0.0012465608156750033	0.449844	0.6260011910542832	0.48015978100318485	0.42785110647639374	1.0	1.0	2.0	4.0	3.0	3.0	4.0	4.0	5.0	6.0
chr1	7000000	7250000	1.0869550602515936	1.506076754308877	1.0851237273578054	0.0013535463793145767	0.46694	0.2852222768928883	1.1349512875292305	0.37973006333564224	1.0	1.0	2.0	4.0	2.0	2.0	3.0	3.0	4.0	5.0
chr1	7250000	7500000	1.1041153642280512	1.526345439120801	1.092401087548187	0.001328042445345816	0.487724	0.3039007561932989	1.237817992924961	0.3283752508875814	1.0	1.0	2.0	4.0	2.0	2.0	3.0	3.0	4.0	5.0
chr1	7500000	7750000	1.1842573676365677	1.6588554854413817	1.1388328441607078	0.0012191178517198863	0.520228	0.36880553006694483	1.1014182172096612	0.39518329534988184	1.0	1.0	2.0	4.0	2.0	2.0	3.0	3.0	4.0	5.0
chr1	7750000	8000000	1.1276210485375733	1.5944717678242717	1.1165138741783893	0.0011911584251037635	0.436328	0.5953294488202493	0.40002646050178137	0.5106445662070426	1.0	1.0	2.0	4.0	3.0	3.0	4.0	4.0	5.0	6.0
chr1	8000000	8250000	1.158806913896356	1.6565177754771048	1.1380301221915017	0.0012568086916091336	0.453768	0.6938641347400057	0.05333275159690088	0.6215646840410988	1.0	1.0	2.0	4.0	3.0	3.0	4.0	5.0	6.0	7.0
chr1	8250000	8500000	1.1819180820986595	1.6967195614321147	1.1517566821999625	0.0013244666806455725	0.4623	0.7642609222183709	-0.09727031999995969	0.6750512739796536	1.0	1.0	2.0	4.0	3.0	3.0	4.0	5.0	6.0	7.0
chr1	8500000	8750000	1.0924432855106245	1.5595056558890108	1.104203664925704	0.0014639679958968648	0.405388	0.8754923191456733	-0.4097316597788628	0.7080017996913222	1.0	1.0	2.0	4.0	3.0	3.0	4.0	5.0	6.0	7.0
chr1	8750000	9000000	1.2253739197810698	1.8116910951618248	1.1901392605472652	0.0011720236307615562	0.460588	0.8163650238067498	-0.27206846274105184	0.7549503493442834	1.0	1.0	2.0	4.0	3.0	3.0	4.0	5.0	6.0	7.0
chr1	9000000	9250000	1.315535406238081	2.007959194632191	1.2529482925671496	0.0011207274994808401	0.497804	0.8647702657449148	-0.34535610998916527	0.7499616687789896	1.0	1.0	2.0	4.0	3.0	3.0	4.0	5.0	6.0	7.0
chr1	9250000	9500000	1.2517995432863533	1.8941309205200467	1.2169162880508841	0.001226488949285429	0.519704	0.834544757505765	-0.06837287298559439	0.7480720884463091	1.0	1.0	2.0	4.0	3.0	3.0	4.0	5.0	6.0	7.0
chr1	9500000	9750000	1.2579197980144887	1.9030892981203777	1.2197906237140754	0.0011471328552758728	0.506212	0.8191250834634678	-0.39155800217588493	0.7625233265467699	1.0	1.0	2.0	4.0	3.0	3.0	4.0	5.0	6.0	7.0
chr1	9750000	10000000	1.2547683785102313	1.8838643353971274	1.2136138367774043	0.0011871592014964189	0.482196	0.7565438971043418	-0.33556669664406297	0.7731307276628152	1.0	1.0	2.0	4.0	3.0	3.0	4.0	5.0	6.0	7.0
chr1	10000000	10250000	1.149771502909915	1.68822758825288	1.1488708324324262	0.0012552233643097375	0.445812	0.7526764418846655	-0.224836641416639	0.7363136397495786	1.0	1.0	2.0	4.0	3.0	3.0	4.0	5.0	6.0	7.0
